Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
friend,text,257,44.75%,1.56%,43.97%,11.67%,0.00%,11.67%,0.1,0,1.95%
korean,text,254,49.61%,9.45%,47.24%,12.99%,0.79%,12.20%,2.636364,0,1.97%
pizzahut,text,254,61.42%,0.00%,61.42%,22.44%,0.00%,22.44%,0.140351,0,3.94%
puttes,text,247,60.73%,1.62%,59.51%,23.08%,0.81%,22.27%,0.105263,0,3.24%
chinese,text,246,49.59%,3.66%,47.97%,15.45%,0.00%,15.45%,4.948718,0,0.81%
tripla,text,245,52.65%,1.22%,52.24%,12.65%,0.00%,12.65%,9.16129,0,0.82%
indian,text,243,52.67%,4.53%,51.03%,13.58%,0.41%,13.17%,2.606061,0,1.23%
chinese,text,242,47.52%,1.24%,46.69%,17.36%,0.41%,16.94%,1.857143,0.095238,1.24%
mcdonalds,recent_searches,241,60.58%,0.83%,59.75%,21.58%,0.41%,21.16%,0.075472,0.245283,2.07%
breakfast,text,236,57.20%,11.44%,51.69%,10.59%,1.27%,9.32%,6.851852,0.740741,1.27%
gateau,text,231,56.71%,2.60%,55.41%,17.32%,0.00%,17.32%,1.952381,0,3.46%
chalupa,text,225,55.11%,2.22%,52.89%,20.89%,0.44%,20.44%,0.276596,0,1.33%
bröner,text,224,0.45%,0.00%,0.45%,0.00%,0.00%,0.00%,,,21.43%
king ke,text,224,35.71%,1.34%,34.82%,18.75%,0.89%,17.86%,0.952381,0.142857,0.89%
jungle,text,223,47.98%,0.90%,47.09%,20.63%,0.00%,20.63%,0.456522,0,3.59%
döner harju,text,223,53.81%,0.90%,53.36%,21.08%,0.45%,20.63%,0.041667,0,2.24%
nepalese,text,220,48.64%,1.36%,47.73%,23.18%,0.00%,23.18%,3.078431,0,0.45%
intersport,text,220,48.18%,6.36%,42.73%,0.91%,0.00%,0.91%,0,0,13.64%
burger company,text,217,61.29%,1.38%,60.83%,16.59%,0.00%,16.59%,0.222222,0,2.77%
starbucks,text,211,57.82%,2.37%,57.35%,9.00%,0.00%,9.00%,0.210526,0,0.47%
bär bar,text,207,50.24%,0.97%,50.24%,16.91%,0.00%,16.91%,0.457143,0,0.48%
kmarket,text,207,59.90%,0.00%,59.90%,21.26%,0.00%,21.26%,1.511111,0,1.93%
blondie,text,197,1.02%,0.00%,1.02%,0.00%,0.00%,0.00%,,,1.52%
sushi bar,text,192,45.83%,0.52%,45.31%,15.63%,0.00%,15.63%,2.033333,0,1.04%
noodle master,text,192,66.67%,2.08%,65.63%,15.63%,0.52%,15.10%,0.033333,0,6.77%
burger king,recent_searches,192,61.46%,0.00%,61.46%,16.67%,0.00%,16.67%,0.46875,0,3.13%
grocery,tag,190,44.74%,0.00%,44.74%,19.47%,0.00%,19.47%,1.378378,0,2.11%
momento,text,185,64.32%,2.16%,62.70%,19.46%,1.08%,18.38%,0.111111,0.111111,6.49%
vegetarian,tag,182,31.87%,5.49%,28.57%,3.85%,0.55%,3.30%,9.714286,0.428571,6.59%
nepali,text,181,40.33%,2.76%,38.67%,14.92%,0.55%,14.36%,2.333333,0.037037,0.00%
burgerking,text,180,52.22%,0.00%,52.22%,17.78%,0.00%,17.78%,0.53125,0,3.89%
hanko aasia,text,180,58.89%,1.11%,57.78%,16.11%,0.00%,16.11%,0.310345,0,3.89%
sushi panda,text,179,63.13%,1.12%,62.57%,22.35%,0.00%,22.35%,0.225,0,2.23%
boneless,recent_searches,177,50.85%,1.69%,49.72%,18.08%,0.00%,18.08%,0.40625,0,6.78%
